number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
130,32211100,TP53,Gastric Cancer,plasma,NGS( the HiSeq3000 Sequencing System),We performed next-generation sequencing (NGS) of ctDNA from 23 gastric cancer patients. Then the genetic information and clinical information were statistically analyzed.,_,"TP53 was a common mutant gene and its mutation frequency and type of mutation were related to the outcome of advanced gastric cancer treatment. The frequency of mutations of the gene was related to therapeutic outcome, especially in the ineffective group(treatment ineffective) of this study.",_,_,_,_,_
131,34430359,EGFR,Non-Small Cell Lung Cancer,plasma,Scorpion amplified refractory mutation system (ARMS),"Stage I每III NSCLC patients with tissue EGFR mutations were enrolled in this study (n=174). The ctDNA EGFR mutations were identified in paired preoperative plasma samples. EGFR mutation testing was performed using Scorpion amplified refractory mutation system (ARMS) technology. The correlation between ctDNA EGFR mutation status and clinicopathologic parameters was analyzed. By combining at least 5 years of follow-up data, we assessed the relationship between ctDNA EGFR mutation status and disease-free survival (DFS) and overall survival (OS).",_,"The overall 5-year survival rate was 18.5% versus 76.9% for ctDNA EGFR mutation-positive and ctDNA EGFR mutation-negative patients, respectively. For patients with ctDNA EGFR mutation positive, the median OS and DFS were 29.00㊣2.55 and 19.00㊣2.50 months, respectively, which were both significantly better than those in the ctDNA EGFR mutation-negative subgroup (P<0.001). ctDNA EGFR mutation was an independent risk factor of OS and DFS [hazard ratio (HR) 3.289, 95% confidence interval (CI), 1.816-5.956, P<0.001; HR, 4.860, 95% CI, 2.660-8.880, P<0.001].",_,_,_,_,_
132,35116746,EGFR,Non-Small Cell Lung Cancer,plasma,Illumina CN500 platform,"A total of 36 patients with advanced non-small cell lung cancer (NSCLC) were enrolled in this study, including 28 cases of adenocarcinoma and 8 cases of squamous cell carcinoma. Next-generation sequencing based ctDNA detection, tissue DNA (tDNA) detection, corresponding survival analysis, and retrospective statistics were performed to explore the feasibility of clinical practice directed by molecular characteristics in NSCLC.",_,_,_,_,_,"Twenty-one patients with EGFR mutation and subsequently treated with EGFR-tyrosine kinase inhibitor (TKI) combined chemotherapy, had significantly longer PFS than those with EGFR wild type and treated with chemotherapy in next 5-year monitoring test (18.00㊣4.41 vs. 7.33㊣1.58 months, P=0.024).",_
133,32218822,TP53,Ovarian Cancer,plasma,Cancer Personalized Profiling by deep Sequencing (CAPP-Seq),"In the present study, we applied CAPP-seq, a ctDNA-based form of targeted NGS, to compare the variant allele frequency (VAF) of tumor-derived somatic mutations in ctDNA measured pre- and post-NAC in plasma samples obtained from ovarian cancer patients receiving NAC. We also examined the changes of the bTMB during NAC treatment as a potential novel biomarker.",_,_,_,"Gene mutation can be profiled and monitored using liquid biopsy-based CAPP-Seq in patients with advanced ovarian cancer with NAC treatment, and TP53 mutation in the ctDNA and bTMB may be novel biomarkers that can be used for patient monitoring during NAC treatment(the rate of TP53 mutation in the NAC-resistant cases was significantly higher compared with NAC-sensitive cases).",_,_,_
134,29416754,KRAS,Ovarian Cancer,plasma,pancreatic ductal adenocarcinoma,"Blood samples from patients with metastatic PDAC prior to and during palliative treatment were collected. ctDNA and corresponding tumor tissue were analyzed by targeted next generation sequencing and droplet digital PCR for the 7 most frequently mutated genes in PDAC (TP53, SMAD4, CDKN2A, KRAS, APC, ATM, and FBXW7). Findings were correlated with clinical and imaging data.",_,"The combined mutational allele frequency (CMAF) of KRAS and TP53 was chosen to reflect the amount of ctDNA. The median CMAF level significantly decreased during treatment (P = 0.0027) and increased at progression (P = 0.0104). CA19-9 analyses did not show significant differences. In treatment na ve patients, the CMAF levels during therapy significantly correlated with progression-free survival (Spearman, r = -0.8609, P = 0.0013).",_,_,_,_,_
135,35117043,EGFR,Non-Small Cell Lung Cancer,plasma,ddpcr(the MX3000P real-time PCR system ),"Plasma and matched tissue specimens from patients with advanced lung adenocarcinoma were collected prior to icotinib treatment. The ARMS method was used to detect EGFR mutation status in DNA extracted from tissue specimens, while the EGFR mutation status in ctDNA extracted from plasma specimens was determined by ddPCR. The therapeutic effects of icotinib were compared between patients with EGFR-activating mutations detected by ddPCR in ctDNA and ARMS in tissue DNA.",_,"under icotinib treatment,Patients with sensitive EGFR mutations in plasma specimens detected with ddPCR had a higher ORR and DCR compared with patients with sensitive EGFR mutations in tissue detected with the ARMS method.",_,_,_,_,_
136,30174861,EGFR,Non-Small Cell Lung Cancer,plasma,ADx-ARMS (amplification refractory mutation system) kit,"Plasma DNA samples from 1,001 patients with stage III/IV NSCLC who received ≒1st line chemotherapy were collected from 65 hospitals. EGFR mutations were tested by amplification refractory mutation system (ARMS) method. The EGFR mutation rate was calculated and the associations between EGFR status and patients' demographic data, disease status as well as treatment pattern were explored.",_,_,_,ctDNA based EGFR mutation test is feasible and could be a surrogate when tissue biopsy is not available.,_,_,_
137,35100697,BRAF,Non-Small Cell Lung Cancer,plasma,_,_,_,"Our results confirm that baseline RAS and BRAF testing in ctDNA discriminates survival. The emergence of RAS/BRAF mutations has limited relevance for the time to progression to anti-epidermal growth factor receptor therapy.The median overall survival (OS) of baseline patients with RAS and BRAF mutations in ctDNA was 22.3 months (95% CI, 15.6 to 29 months) and 8.9 months (95% CI, 6.3 to 11.4 months), respectively, which was significantly inferior to the median OS of 40.4 months (95% CI, 35.9 to 44.9 months) in two patients with wild-type disease (P < .001). Acquisition of RAS/BRAF mutations occurred in nine of 63 patients (14%) with progressive disease (PD; ie, blood draw within 1 month before PD or after PD) compared with six of 73 patients (8%) with no PD or blood extraction for ctDNA analysis before 1 month of PD (P = .47). Median OS in patients with RAS/BRAF acquisition was 23.9 months (95% CI, 19.7 to 27.9 months) compared with 40.6 months (95% CI, not reached to not reached) in patients who remained free of mutations (P = .016).",_,_,_,_,_
138,35100697,RAS,Non-Small Cell Lung Cancer,plasma,_,_,_,"Our results confirm that baseline RAS and BRAF testing in ctDNA discriminates survival. The emergence of RAS/BRAF mutations has limited relevance for the time to progression to anti-epidermal growth factor receptor therapy.The median overall survival (OS) of baseline patients with RAS and BRAF mutations in ctDNA was 22.3 months (95% CI, 15.6 to 29 months) and 8.9 months (95% CI, 6.3 to 11.4 months), respectively, which was significantly inferior to the median OS of 40.4 months (95% CI, 35.9 to 44.9 months) in two patients with wild-type disease (P < .001). Acquisition of RAS/BRAF mutations occurred in nine of 63 patients (14%) with progressive disease (PD; ie, blood draw within 1 month before PD or after PD) compared with six of 73 patients (8%) with no PD or blood extraction for ctDNA analysis before 1 month of PD (P = .47). Median OS in patients with RAS/BRAF acquisition was 23.9 months (95% CI, 19.7 to 27.9 months) compared with 40.6 months (95% CI, not reached to not reached) in patients who remained free of mutations (P = .016).",_,_,_,_,_
139,33777770,ESR1,Breast Cancer,plasma,ddpcr(the QX200 ddPCR system),We conducted a prospective study in a cohort of HR+/HER2- mBC patients to assess the concordance of ESR1 mutation evaluated on matched tumor tissue samples from a metastatic lesion and ctDNA from plasma.,_,_,_,The total concordance rate between ESR1 status on tumor tissue and plasma was 91%. Our results confirm the potential role of liquid biopsy as a non-invasive alternative to tissue biopsy for ESR1 mutation assessment in mBC patients.,_,_,_
140,33920470,BRAF,Melanoma,plasma,dpcr,"This validation study was undertaken to confirm that early ctDNA kinetics, interpreted using well-defined evaluation criteria, could predict responses to anti-PD1 immunotherapy alone or in combination with anti-CTLA-4 in an independent prospective cohort of metastatic melanoma patients.",_,"ctDNA detection at first-line anti-PD1 initiation was an independent prognostic factor for OS and PFS in multivariate analysis. Overall, early ctDNA quantitative monitoring may allow the detection of primary resistances of metastatic melanoma to anti-PD1 immunotherapies.",_,_,_,_,_
141,33920470,NRAS,Melanoma,plasma,dpcr,"This validation study was undertaken to confirm that early ctDNA kinetics, interpreted using well-defined evaluation criteria, could predict responses to anti-PD1 immunotherapy alone or in combination with anti-CTLA-4 in an independent prospective cohort of metastatic melanoma patients.",_,"ctDNA detection at first-line anti-PD1 initiation was an independent prognostic factor for OS and PFS in multivariate analysis. Overall, early ctDNA quantitative monitoring may allow the detection of primary resistances of metastatic melanoma to anti-PD1 immunotherapies.",_,_,_,_,_
142,30323979,TP53,Breast Cancer,plasma,Illumina HiSeq 3000 and NextSeq 500 instruments,"Through next generation sequencing, this study evaluated the circulating tumor DNA (ctDNA) of advanced breast cancer patients to prospectively explore the relationship between specific DNA mutations and prognosis as well as therapeutic decision making. The target region covered 1021 gene totally. Clinical characteristics, treatment and outcome data were collected. ",_,The presence of a TP53 mutation was associated with worse OS.,_,_,_,_,_
143,29490986,TP53,Squamous Cell Carcinoma Of The Head And Neck,plasma,NGS,"BERIL-1 was a multicenter, randomized, double-blind, placebo-controlled phase II study. Patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) progressing on/after one previous platinum-based chemotherapy regimen in the recurrent or metastatic setting were treated with either buparlisib plus paclitaxel or placebo plus paclitaxel. Archival tumor tissue and ctDNA samples were analyzed for molecular alterations and immune infiltration using next-generation sequencing or immunohistochemistry.",_,_,_,_,_,"The BERIL-1 biomarker analyses showed that patients with TP53 alterations, HPV-negative status, low mutational load, or high infiltration of TILs or CD8-positive cells derived survival benefit with the combination of buparlisib and paclitaxel.",_
144,29541205,TP53,Colorectal Cancer,plasma,NGS,"In the present study, next generation sequencing (NGS) technology was used to reveal significant associations between changes in ctDNA and different stages of CRC progression in order to examine the value of ctDNA in the clinical diagnosis and treatment of patients with CRC.",_,"In 1 patient with metastatic rectal cancer, the rate of TP53 mutation increased from 8.95 (preoperative) to 71.4% (postoperative), and a new phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit 帢 mutation emerged. This patient succumbed to mortality six months following surgery, however there were no marked changes in CEA levels during periodic detection of CEA levels. In summary, ctDNA has a high sensitivity and specificity in prediction of the prognosis of patients with CRC.",_,_,_,_,_
145,36185208,BRCA1,Prostate Cancer,plasma,NGS,_,_,_,_,_,_,_,BRCA1 mutations tend to co-segregate with mutations in other molecular pathways contributing to prostate cancer progression. These hypothesis-generating data may explain the differential response to PARP inhibition and guide towards the development of combinatorial drug regimens in those with BRCA1 mutation.
146,36185208,BRCA2,Prostate Cancer,plasma,NGS,_,_,_,_,_,_,_,BRCA2 may be the main driver mutation
147,36248329,EGFR,Lung Adenocarcinoma,plasma,_,_,_,"8 months after the operation, the EGFR del19 mutation re-emerged in the blood, accompanied by a newly emerged solitary nodule (2 mm) that was later confirmed to be metastatic. Soon afterward, ctDNA detection revealed the EGFR T790M mutation, and the mediastinal lymph nodes rapidly enlarged. The patient's treatment was switched to Osimertinib and the ctDNA detection results showed the EGFR T790M gene mutation frequencies steadily decreased to zero. During the treatment period, ctDNA detection accurately predicted each change in disease burden and revealed genotype alterations. The patient ultimately developed severe metastases in the liver after developing resistance to Osimertinib.",_,_,_,_,_
148,34282791,ALK,Neuroblastoma,plasma,ddpcr,"Various pre-analytical conditions tested to optimize circulating-tumor DNA (ctDNA) copy number changes evaluations. Plasma samples from 10 patients diagnosed with neuroblastoma assessed for SCA and MNA using single nucleotide polymorphism (SNP) array approach currently used for neuroblastoma diagnosis, with MNA status assessed independently using digital-droplet PCR (ddPCR). Three patients (one in common with the previous 10) tested for ALK activating mutations p.F1174L and p.F1245I using ddPCR.",_,"MNA and ALK mutation dynamic change was assessed in longitudinal samples from 4 and 3 patients (one patient with both), respectively, accurately reflected response to treatment in 6/6 (100%) and disease recurrence in 5/6 (83%) of cases. Samples taken prior to targeted treatment with the ALK inhibitor Lorlatinib and 6-8 weeks on treatment showed reduction/increase in ALK variants according to response to treatment.",_,_,_,_,_
149,35050760,RAS,Colorectal Cancer,plasma,OncoBEAM RAS CRC kits,"We enrolled patients whose plasma samples were collected in prospective phase II trials, the JACCRO CC-08 (n = 36) and CC-09 (n = 25), which evaluated rechallenge chemotherapy with anti-EGFR mAb for KRAS wild-type mCRC. RAS in ctDNA was analyzed at the time points of baseline, 8 weeks, and progression using OncoBEAM RAS CRC kit.",_,"RAS status in ctDNA was significantly associated with clinical outcomes in patients with mCRC receiving rechallenge treatment with anti-EGFR mAb.The DCR was 33% in patients with RAS mutations in ctDNA, whereas it was 80% in patients without RAS mutation at baseline. Patients with RAS mutation at baseline had significantly shorter progression-free survival (PFS) and overall survival (OS) than those without RAS mutation (median PFS, 2.3 v 4.7 months; hazard ratio [HR], 6.2; P = .013; median OS, 3.8 v 16.0 months; HR, 12.4; P = .0028). Six of 10 patients without RAS mutation at baseline acquired RAS mutations at progression. Postprogression survival after rechallenge treatment was numerically shorter in patients with RAS mutation at progression.",_,_,_,_,_
150,31877464,ESR1,Breast Cancer,plasma,NGS(Illumina Hiseq Technology),"We performed longitudinal dynamic mutation analyses of plasma samples from 45 patients with metastatic breast cancer (MBC) and sequencing paired biopsy tissues, using a targeted NGS panel of 425 genes. These patients were treated at the Second Affiliated Hospital of Dalian Medical University between January 2017 and February 2019 with written informed consent.","the change of allele frequency of ESR1 mutations was an important biomarker, which could predict endocrine resistance of ER+ MBC.",the combination of everolimus in four cases with acquired ESR1 mutations showed longer PFS than other therapies without everolimus.,_,_,_,everolimus,_
151,31179079,EGFR,Non-Small Cell Lung Cancer,plasma,ARMS,Eligible patients (stage IIIA/B/IV locally advanced/metastatic treatment-naive advanced NSCLC) provided diagnostic tissue/cytology and plasma samples. DNA extracted from tissue/cytology samples was subjected to EGFR mutation testing as per local practice; a designated laboratory performed ctDNA extraction/mutation testing of plasma samples. The primary outcome was EGFR mutation status concordance between matched tumor and plasma samples.,_,_,_,Data confirm ctDNA as an alternative sample for EGFR mutation analysis in patients with advanced NSCLC.,_,_,_
152,36332363,CDH1,Invasive Lobular Carcinoma,plasma,NGS(Guardant360),"In once clinical study,We retrospectively analysed 980 clinically annotated patients (121 ILC, 792 IDC, and 67 mixed histology) from three academic centers with ctDNA evaluation by Guardant360 . Single nucleotide variations (SNVs), copy number variations (CNVs), and oncogenic pathways were compared across histologies.",_,_,_,_,_,_,"In multivariable analysis, HR+ HER2 negative ILC was significantly associated with mutations in CDH1 (odds ratio (OR) 9.4, [95% CI 3.3-27.2]), ERBB2 (OR 3.6, [95% confidence interval (CI) 1.6-8.2]), and PTEN (OR 2.5, [95% CI 1.05-5.8]) genes. In an independent cohort of nearly 7000 metastatic breast cancer patients, CDH1 was significantly co-mutated with targetable alterations (PIK3CA, ERBB2) and mutations associated with endocrine resistance (ARID1A, NF1, RB1, ESR1, FGFR2) (Benjamini-Hochberg Procedure, all q < 0.05)."
153,36332363,ERBB2,Invasive Lobular Carcinoma,plasma,NGS(Guardant360),"In once clinical study,We retrospectively analysed 980 clinically annotated patients (121 ILC, 792 IDC, and 67 mixed histology) from three academic centers with ctDNA evaluation by Guardant360 . Single nucleotide variations (SNVs), copy number variations (CNVs), and oncogenic pathways were compared across histologies.",_,_,_,_,_,_,"In multivariable analysis, HR+ HER2 negative ILC was significantly associated with mutations in CDH1 (odds ratio (OR) 9.4, [95% CI 3.3-27.2]), ERBB2 (OR 3.6, [95% confidence interval (CI) 1.6-8.2]), and PTEN (OR 2.5, [95% CI 1.05-5.8]) genes."
154,36332363,PTEN,Invasive Lobular Carcinoma,plasma,NGS(Guardant360),"In once clinical study,We retrospectively analysed 980 clinically annotated patients (121 ILC, 792 IDC, and 67 mixed histology) from three academic centers with ctDNA evaluation by Guardant360 . Single nucleotide variations (SNVs), copy number variations (CNVs), and oncogenic pathways were compared across histologies.",_,_,_,_,_,_,"In multivariable analysis, HR+ HER2 negative ILC was significantly associated with mutations in CDH1 (odds ratio (OR) 9.4, [95% CI 3.3-27.2]), ERBB2 (OR 3.6, [95% confidence interval (CI) 1.6-8.2]), and PTEN (OR 2.5, [95% CI 1.05-5.8]) genes."
155,34290508,ATM,Colorectal Cancer,plasma,_,case report,_,_,_,_,_,The XELOXIRI-bevacizumab regimen is a feasible and effective regimen for patients with mCRC. Mutations in the ATM genes may characterize a subset of patients with a better prognosis who are more sensitive to chemotherapy plus biological agents.,_
156,34513603,PI3KCA,Triple Negative Breast Cancer,plasma,_,case report,_,The detection of PIK3CA mutation in TNBC after neoadjuvant treatment might be associated with early relapse or rapid disease progression.,_,_,_,_,_
157,31611986,EGFR,Non-Small Cell Lung Cancer,plasma,NGS(Illumina HiSeq2500),"The present study enrolled 99 patients with NSCLC who were baseline or previously treated at the Hunan Cancer Hospital (Changsha, China) between September 2017 and April 2018. The specimens included 59 plasma and 40 tissue samples. ",_,_,_,_,_,_,"the present study demonstrated that EGFR amplification coexisted with EGFR mutations, including SNVs and INDELs, but was mutually exclusive with the EGFR T790M mutation. Furthermore, no patients with concurrent ERBB2 mutation and amplification were observed. All four patients that possessed the EGFR T790M mutation also harbored other EGFR mutations. To investigate the patterns of concurrent alterations and mutual exclusivity, pairwise associations between somatic events were examined. Mutual exclusivity was observed between alterations in EGFR and TP53 [odds ratio (OR)=0.324; P=0.020;] and between those in EGFR and KRAS (OR=0.091; P=0.008) in patients with NSCLC"
158,31611986,TP53,Non-Small Cell Lung Cancer,plasma,NGS(Illumina HiSeq2500),"The present study enrolled 99 patients with NSCLC who were baseline or previously treated at the Hunan Cancer Hospital (Changsha, China) between September 2017 and April 2018. The specimens included 59 plasma and 40 tissue samples. ",_,_,_,_,_,_,"the present study hypothesized that there may be a correlation between the MAFs of TP53 and EGFR in individual patients. As expected, a significantly linear relationship was observed (r=0.773; P=0.005;). However, when the MAFs of TP53 and KRAS were compared, no linear correlation was identified (r=0.700; P=0.233; ). In addition, the present study observed significant differences in the MAF of EGFR between patients with and without TP53 mutations (P=0.001;);the number of variants in each patient was analyzed in the context of various mutant genes. The results revealed that patients with TP53 mutations harbored more variant numbers when compared with patients without TP53 mutations in baseline tumors (P=0.011)"
159,30949415,EGFR,Non-Small Cell Lung Cancer,plasma,_,"In this study, we recruited 464 patients with NSCLC between March 2014 and March 2015. Circulating tumor DNA (ctDNA) was isolated from plasma and identified EGFR gene mutations. Demographic characteristics, pathological data, safety and three-year survival were compared in patients with different EGFR gene mutations. The primary objective was progression-free survival (PFS), and secondary objectives included overall response rate (ORR), disease control rate (DCR) and overall survival (OS). ",_,"the median OS in patients with EGFR 21 exon mutation was significantly higher than those of patients with EGFR 19 exon or other mutations. In conclusion, applied with chemotherapy and EGFR-TKI, Chinese NSCLC patients with EGFR gene 21 exon mutation could have better clinical response and long-term survival than those with other kinds of mutation.",_,_,_,_,_
160,36318332,EGFR,Non-Small Cell Lung Cancer,cerebrospinal fluid,_,"From April 2018 to November 2021, patients with EGFR-mutant NSCLC who underwent cerebrospinal fluid (CSF) sampling under the clinical suspicion of LM were enrolled. The patients' clinicodemographic characteristics, treatment history including whole-brain radiation therapy (WBRT), overall survival (OS), and intracranial progression-free survival (icPFS) were measured. EGFR mutations in cell-free tumor DNA (ctDNA) of CSF, including T790M mutation, were analyzed.",_,_,_,_,_,Osimertinib is effective in patients with EGFR-mutant NSCLC who developed LM and prior third-generation EGFR-TKI use was associated with poor survival in these patients. The role of WBRT warrants further investigation.,_
161,33995588,BRCA2,Ovarian Cancer,_,_,case report,_,_,_,_,_,maybe targeted by PARP inhibitor,_
162,33995588,BRCA1,Breast Cancer,_,_,case report,_,_,_,_,_,maybe targeted by PARP inhibitor,_
163,30147360,ESR1,Breast Cancer,_,_,"We searched PubMed, Embase, and Cochrane Library databases for eligible studies. Meta-analysis was conducted to calculate combined hazard ratios (HRs) with 95% CIs for progression-free survival (PFS) and overall survival (OS). Subgroup and sensitivity analyses were also performed.",_,"Meta-analysis demonstrated that plasma ESR1 mutation carriers had significantly worse PFS (HR: 1.40, 95% CI: 1.17-1.66; P<0.0001) and OS (HR: 1.65, 95% CI: 1.36-2.01; P<0.0001) compared to wild-type ESR1.Subgroup analysis showed that plasma ESR1 mutations were associated with shorter PFS after AI-based treatment, but were not significantly predictive of outcome on fulvestrant-containing therapy (HR: 1.26, 95% CI: 0.98-1.62; P=0.077).",_,_,_,_,_
164,35159044,BRAF,Melanoma,plasma,_,"We included patients with liquid biopsy performed between 1 January 2018 and 15 August 2020 to achieve at least a 12-month follow-up. All patients had undergone BRAF mutation testing by liquid biopsy, and tissue sample testing was also performed when possible. Collected data included basic demographic data, stage of the disease, times of requesting and obtaining the results of BRAF mutation testing from liquid biopsy and tissue sample if available, reasons for performing a liquid biopsy, and data about eventual treatment with BRAF inhibitors.",BRAF/MEK inhibitors,_,_,"ctDNA is a feasible source of genetic material for BRAF mutation assessment in clinical practice in advanced melanoma patients, especially when a tissue sample is not available or in patients with rapidly progressive disease.",_,_,_
165,32695676,TP53,Breast Cancer,plasma,NGS,Matched plasma and mononuclear cells from 290 Chinese women with metastatic BC were sequenced using either of the two commercially-available panels consisting of 520 cancer-related and 108 BC-related genes. Both panels cover the same critical regions of 91 genes. The circulating tumor DNA mutation profile from our cohort was then compared with publicly-available metastatic BC datasets from Memorial Sloan Kettering Cancer Center (MSKCC) and Pan-cancer analysis of whole genomes (PCAWG).,_,_,_,_,"Maximum allelic fraction (maxAF) of TP53, RB1, and PIK3CA mutations were associated with multiple organ metastasis",_,_
166,32695676,RB1,Breast Cancer,plasma,NGS,Matched plasma and mononuclear cells from 290 Chinese women with metastatic BC were sequenced using either of the two commercially-available panels consisting of 520 cancer-related and 108 BC-related genes. Both panels cover the same critical regions of 91 genes. The circulating tumor DNA mutation profile from our cohort was then compared with publicly-available metastatic BC datasets from Memorial Sloan Kettering Cancer Center (MSKCC) and Pan-cancer analysis of whole genomes (PCAWG).,_,_,_,_,"Maximum allelic fraction (maxAF) of TP53, RB1, and PIK3CA mutations were associated with multiple organ metastasis",_,_
167,32695676,PIK3CA,Breast Cancer,plasma,NGS,Matched plasma and mononuclear cells from 290 Chinese women with metastatic BC were sequenced using either of the two commercially-available panels consisting of 520 cancer-related and 108 BC-related genes. Both panels cover the same critical regions of 91 genes. The circulating tumor DNA mutation profile from our cohort was then compared with publicly-available metastatic BC datasets from Memorial Sloan Kettering Cancer Center (MSKCC) and Pan-cancer analysis of whole genomes (PCAWG).,_,_,_,_,"Maximum allelic fraction (maxAF) of TP53, RB1, and PIK3CA mutations were associated with multiple organ metastasis; Patients with PIK3CA was more likely to have liver metastasis (P < 0.02).",_,_
168,32695676,PTEN,Breast Cancer,plasma,NGS,Matched plasma and mononuclear cells from 290 Chinese women with metastatic BC were sequenced using either of the two commercially-available panels consisting of 520 cancer-related and 108 BC-related genes. Both panels cover the same critical regions of 91 genes. The circulating tumor DNA mutation profile from our cohort was then compared with publicly-available metastatic BC datasets from Memorial Sloan Kettering Cancer Center (MSKCC) and Pan-cancer analysis of whole genomes (PCAWG).,_,_,_,_,"Patients with PIK3CA, PTEN, and RB1 mutation were more likely to have liver metastasis (P < 0.02).",_,_
169,32695676,RB1,Breast Cancer,plasma,NGS,Matched plasma and mononuclear cells from 290 Chinese women with metastatic BC were sequenced using either of the two commercially-available panels consisting of 520 cancer-related and 108 BC-related genes. Both panels cover the same critical regions of 91 genes. The circulating tumor DNA mutation profile from our cohort was then compared with publicly-available metastatic BC datasets from Memorial Sloan Kettering Cancer Center (MSKCC) and Pan-cancer analysis of whole genomes (PCAWG).,_,_,_,_,"Patients with PIK3CA, PTEN, and RB1 mutation were more likely to have liver metastasis (P < 0.02).",_,_
170,31850201,KRAS,Pancreatic Cancer,plasma,ddpcr(Qx200),Plasma samples were collected from 110 PC and 52 pancreatic benign (PB) disease patients. The detection of KRAS mutation in ctDNA was performed using droplet digital PCR and compared with that in matched tumor tissue. We assessed the utility of KRAS MAFs in ctDNA and tissue for pancreatic malignancy assessment.,_,_,The MAF of KRAS in ctDNA was related to the clinical stage of PC (p = 0.001). Mutant KRAS ctDNA could improve the sensitivity in early diagnosis of PC as a complement to CA19-9. Our study suggested that KRAS mutation in ctDNA could be a valuable circulating biomarker for the malignancy assessment in PC.,_,The KRAS MAF in ctDNA was obviously associated with the presence of distant metastasis (p < 0.001),_,_
171,33377634,ERBB2,Gastric Cancer,plasma,NGS(Illumina HiSeq4000),"From 40 GC patients received HER2-targeted therapy, a total of 327 peripheral blood plasma specimens was collected including baseline and treatment time points. Circulating tumor DNA (ctDNA) was extracted and sequenced with a target panel of 425 genes. Experimental validation of resistant mutations was carried out in NIH-3T3 cell line.",_,_,_,_,_,survival analysis indicated that patients harboring both HER2 (ERBB2) positivity and high TMB might gain more therapeutic benefits from immune checkpoint inhibitors instead of HER2-targeted regimens,_
172,34359813,BRAF,Melanoma,plasma,ddpcr,_,_,patients with undetectable ctDNA after 12每18 weeks of treatment had a 7.4 times longer median PFS compared to patients with still detectable ctDNA (30.2 vs. 4.0 months; hazard ratio (HR) 12.6 (95% confidence interval [95% CI] 4.3每36.8)). A similar difference was observed for CSS (not reached vs. 10.2 months; HR 14.6 (95% CI 3.3每64.6)).,higher mBRAF levels were observed in patients with liver metastasis (p = 0.05).,_,_,_,"mBRAF abundance moderately correlated with levels of LDH ( 老 = 0.50, p < 0.001), weakly correlated with S100 levels (老 = 0.35, p = 0.03), and strongly correlated with total cell-free circulating DNA (老 = 0.83, p < 0.001)."
173,34192651,TP53,Lung Adenocarcinoma,plasma,ddpcr,"Circulating tumor DNA was prospectively collected at baseline in advanced treatment-na ve EGFR-mutant lung adenocarcinoma patients treated with gefitinib in an open-label, single-arm, prospective, multicenter, phase 2 clinical trial (BENEFIT trial) and analyzed using next-generation sequencing.",_,"The median progression-free survival (PFS) and overall survival (OS) of patients with TP53-wild type tumors were significantly longer than those of patients with TP53-mutant tumors. Mutations in exons 5-8 accounted for 80.9% of TP53 mutations. Mutations in TP53 exons 6 and 7 were significantly associated with inferior PFS and OS compared to wild-type TP53. TP53 mutation also influenced the prognosis of patients with different EGFR mutations. Patients with TP53 and EGFR exon 19 mutations had significantly longer PFS and OS than patients with TP53 and EGFR L858R mutations, and both groups had worse survival than patients with only EGFR mutations. Patients with TP53 mutations, especially in exons 6 and 7, had a lower response rate and shorter PFS and OS when treated with gefitinib. Moreover, TP53 exon 5 mutation divided TP53 mutations in disruptive and non-disruptive types.",_,_,_,_,_
174,31394872,PIK3CA,Breast Cancer,plasma,NGS,"The aim of the present study was to investigate whether ctDNA analysis can be used in early breast cancer diagnosis, by sequencing plasma DNA taken before tumor biopsy in patients with mammographic findings. Then, we have compared PIK3CA and TP53 mutations between tumor biopsies and pre-biopsy circulating DNA as well as we have explored clinicopathological variables that may affect the detectability of these tumor-derived mutations in blood.",_,"the presence of ctDNA mutations was significantly associated with a lower age of the patients (p = 0.040), higher tumor size (p = 0.033) and tumor grade (p = 0.041), the presence of lymph node positivity (p < 0.001), a BIRADS category 5 (p = 0.004) and the IHC cancer subtype (p = 0.025).",_,_,_,_,_
175,31394872,TP53,Breast Cancer,plasma,NGS,"The aim of the present study was to investigate whether ctDNA analysis can be used in early breast cancer diagnosis, by sequencing plasma DNA taken before tumor biopsy in patients with mammographic findings. Then, we have compared PIK3CA and TP53 mutations between tumor biopsies and pre-biopsy circulating DNA as well as we have explored clinicopathological variables that may affect the detectability of these tumor-derived mutations in blood.",_,"the presence of ctDNA mutations was significantly associated with a lower age of the patients (p = 0.040), higher tumor size (p = 0.033) and tumor grade (p = 0.041), the presence of lymph node positivity (p < 0.001), a BIRADS category 5 (p = 0.004) and the IHC cancer subtype (p = 0.025).",_,_,_,_,_
176,34306573,BCL7A,Colorectal Cancer,plasma,"Illumina MiSeq sequencer (Illumina Inc., San Diego, CA, USA)","This study aimed to identify CRC driver genes to assist in the design of a cancer panel to detect gene mutations during clinical early-stage screening and identify genes for use in prognostic assessments and the evaluation of appropriate treatment options. First, we utilized bioinformatics approaches to analyze 354 paired sequencing profiles from The Cancer Genome Atlas (TCGA) to identify CRC driver genes and analyzed the sequencing profiles of 38 patients with >5 years of follow-up data to search for prognostic genes. ",_,BCL7A gene mutation was correlated with prognosis in CRC (worse) (log-rank p-value = 0.02).,_,_,_,_,_
